no,Tweet
1290,"Cool, so now, all the subsidies will be enjoyed by people who contribute to Political parties by untraceable bonds by public Superpower"
1291,Hot topic with top class presentation
1292,lwda
1293,Tbh sir.....from what i have observed and understand this system will not much effective for us middle class ones    Although it can help our country in longer terms but the refugees in india are from mostly the countries where they have been violated and their first priority is food and shelter so how can they even think to buy smartphone for CBDC and how this is effective for us middle class      I'm not opposer of any party but i just want to hear both sides of CBDC (pros are there but are the cons) please explain sir... Thank you
1294,Can it be called indian govt bitcoin or its same as our indian currency it value will not vary.
1295,If CBDC is not backed by some physical asset then its a threat. Everything else is good.
1296,Many others people’s face to scam
1297,Didnt know about the digital rupee concept. Very informative as always. Can you also make a video on Jupiter bank and whats the USP for such a bank
1298,Excellent Enterprising Extraordinary Emerging Evolving Economic and Financial Endeavor
1299,Pleased try to make another video on this CBDC topic. Its really helpful.
1300,but what if I hack the digital currency and just copy paste it into millions
1301,"Thanks, best content for getting started on CBDC. You can add what is CBDC in your title because you totally explain it and it deserves a header, might reach more international audiance."
1302,One line answer to your question. India can never destroy the SWIFT network.
1303,"Also, the govt can keep a direct tracking on every single Rupee transaction being done anywhere in the country and outside. With time, what you consider a rupee (a stock variable) will stop being relevant, only the transaction will be of value. Your stock of Rupees in the bank or a wallet will be a temporary point in the series of these transactions. Backed by a blockchain. When physical currency ends, you can no longer hoard it. Right now, you might decide to give Rs. 5000 to your maid in cash, the govt cant exactly track it. Govt just has an overall idea of how much money is in circulation in the country, they dont know WHO has it or had it in the past. Digital currency will forever put your ownership stamp in these flow of transactions.     Also sometime in future - spending limits on every aspect of life can be pre-decided ( I'm not saying they will be - but the possibility will be there).     But then, future generations will be born and raised in such a world so they wont mind it, because theyve never seen the previous levels of financial freedom.     Also, if youre a common person going about your everyday life, it wouldnt affect you individually, it could only affect you as a part of a group. But if you every have an opinion against the govt.. well, just know that there will be a magical option to make all your money disappear from the systems.  I'm not saying it WILL happen, but the possibility for it to happen has been created."
